t,dev0_latency,dev0_power,dev0_quality,dev0_util,dev0_q,dev0_temp,dev1_latency,dev1_power,dev1_quality,dev1_util,dev1_q,dev1_temp,dev2_latency,dev2_power,dev2_quality,dev2_util,dev2_q,dev2_temp,dev3_latency,dev3_power,dev3_quality,dev3_util,dev3_q,dev3_temp,dev4_latency,dev4_power,dev4_quality,dev4_util,dev4_q,dev4_temp,total_power
0.0,11.245930930646429,11.74106936018827,0.09675721207688986,0.2,0.5807840403167286,41.144257221107814,11.396940830002423,11.568064699817343,0.10605572217676036,0.2,0.6147509342252047,38.90895488713911,10.833775278122255,12.085429267423198,0.12836914402221333,0.2,0.6902541338674031,41.57248448528879,11.07688478895345,12.651459157455978,0.13336158433499398,0.2,0.7821647600870462,41.87003892973684,11.608649905593682,11.858010608780255,0.07680919970263311,0.2,0.4855518784308761,40.67925597873004,59.90403309366504
0.01,11.350441481064822,11.895705876857242,0.12971361930215253,0.20310446369211343,0.5987840403167286,41.144257221107814,11.327728045456196,11.329011908680993,0.14448669300320507,0.2005972124615014,0.6327509342252047,38.90895488713911,10.562216878158377,11.48236468128003,0.18179082552838544,0.19458061907392654,0.7082541338674031,41.57248448528879,11.10085567295559,13.037348413580496,0.18795071863477472,0.1932344569486468,0.8001647600870462,41.87003892973684,12.014545276936003,12.64362603011896,0.10253884493273112,0.2084832478238118,0.5035518784308761,40.67925597873004,60.38805691051772
0.02,11.241013549127302,11.431876270315222,0.18149692506245654,0.20310446369211343,0.6167840403167286,41.144257221107814,11.472502404677744,11.762565001824507,0.17398044278242852,0.2005972124615014,0.6507509342252047,38.90895488713911,10.780966731962906,12.163083345841233,0.202909462926277,0.19458061907392654,0.7262541338674031,41.57248448528879,10.77548553078349,12.013607606509773,0.25847699961001214,0.1932344569486468,0.8181647600870462,41.87003892973684,11.834362661691666,12.055583001248884,0.12722300028188538,0.2084832478238118,0.5215518784308761,40.67925597873004,59.42671522573961
0.03,11.15069153814782,11.04903048247179,0.23622189370143515,0.20310446369211343,0.6347840403167286,41.144257221107814,11.459190055745536,11.722698756948006,0.23435604389317638,0.2005972124615014,0.6687509342252047,38.90895488713911,10.766116929576953,12.11687285713299,0.26142761189280006,0.19458061907392654,0.7442541338674031,41.57248448528879,10.879857961128025,12.34200379973002,0.3074492716689546,0.1932344569486468,0.8361647600870462,41.87003892973684,11.81676047544227,11.998136599425976,0.16344649497492353,0.2084832478238118,0.5395518784308762,40.67925597873004,59.22874249570879
0.04,11.20497162273859,11.279106202930251,0.25615776140093766,0.20310446369211343,0.6527840403167287,41.144257221107814,11.320381811117816,11.307012276719314,0.28682353418532003,0.2005972124615014,0.6867509342252047,38.90895488713911,10.735950615923326,12.02299954756095,0.346247032666984,0.19458061907392654,0.7622541338674031,41.57248448528879,10.856393995698928,12.268177053535354,0.3687363843434647,0.1932344569486468,0.8541647600870462,41.87003892973684,11.93557375961601,12.385895004424054,0.1939864208929509,0.2084832478238118,0.5575518784308762,40.67925597873004,59.263190085169924
0.05,11.269737698941324,11.553628649900517,0.28867557989577325,0.20310446369211343,0.6707840403167287,41.144257221107814,11.369207434073306,11.453229465804695,0.32901931303249765,0.2005972124615014,0.7047509342252047,38.90895488713911,10.442436923818303,11.109626372469826,0.45882168172032495,0.19458061907392654,0.7802541338674032,41.57248448528879,10.688965516718099,11.74138204691857,0.4808298793622895,0.1932344569486468,0.8721647600870462,41.87003892973684,11.72535364474701,11.699821750856568,0.24984695126014367,0.2084832478238118,0.5755518784308762,40.67925597873004,57.55768828595018
0.060000000000000005,11.429511691209896,12.230858920613244,0.3316422341896113,0.20310446369211343,0.6887840403167287,41.144257221107814,11.499894337831526,11.844595116893633,0.352241888277215,0.2005972124615014,0.7227509342252048,38.90895488713911,10.63218964310493,11.700110047878695,0.44346505866474273,0.19458061907392654,0.7982541338674032,41.57248448528879,10.799558562816769,12.089350712739094,0.49052693891390375,0.1932344569486468,0.8901647600870463,41.87003892973684,11.597890704793429,11.283834375063691,0.291068447041185,0.2084832478238118,0.5935518784308762,40.67925597873004,59.14874917318835
0.07,11.309228194063202,11.721016084627777,0.372694807035474,0.20310446369211343,0.7067840403167287,41.144257221107814,11.15378815353074,10.808117334732817,0.47010946660803415,0.2005972124615014,0.7407509342252048,38.90895488713911,10.583679510729134,11.549153364003391,0.4627246583085077,0.19458061907392654,0.8162541338674032,41.57248448528879,10.8605914316216,12.281383816794015,0.47980770674032597,0.1932344569486468,0.9081647600870463,41.87003892973684,11.83097950215382,12.044541739698282,0.27348903137362046,0.2084832478238118,0.6115518784308762,40.67925597873004,58.40421233985628
0.08,11.303171086225124,11.69534196381078,0.44681578594131355,0.20310446369211343,0.7247840403167287,41.144257221107814,11.60034624261398,12.145416576334142,0.3776855578179423,0.2005972124615014,0.7587509342252048,38.90895488713911,10.719362868746696,11.9713808200063,0.43984452313767375,0.19458061907392654,0.8342541338674032,41.57248448528879,10.659679762889727,11.649237693844906,0.5297784929450982,0.1932344569486468,0.9261647600870463,41.87003892973684,11.72452997256454,11.697133618684,0.36243784033120763,0.2084832478238118,0.6295518784308762,40.67925597873004,59.15851067268013
0.09,11.126576507859287,10.946814669631006,0.49948547726254877,0.20310446369211343,0.7427840403167287,41.144257221107814,11.349916187933513,11.39545832815662,0.455328212053489,0.2005972124615014,0.7767509342252048,38.90895488713911,10.511314301081164,11.323963047230531,0.6066677230669636,0.19458061907392654,0.8522541338674032,41.57248448528879,10.998408725895526,12.715010538429906,0.4924197157149001,0.1932344569486468,0.9441647600870463,41.87003892973684,12.299646188667058,13.574079855759166,0.25366269597996705,0.2084832478238118,0.6475518784308762,40.67925597873004,59.95532643920723
